crop,district,market,price,arrival,quantity,unit,literacy,forecast
Maize,Mysuru,Mysuru Mandi,1321.89,2025-10-25,825,quintal,81.8,Rain expected
Wheat,chitradurga,chitradurga market,1962.41,2025-09-21,758,ton,81.8,Rain expected
Tomato,Kolar,Kolar Market,2276.81,2025-09-12,2516,quintal,58.7,Drought warning
Rice,davanagere,davanagere market,1512.17,2025-10-15,1674,kg,89.2,Heatwave
Maize,Kolar,Kolar Market,766.64,2025-07-05,333,kg,58.7,Sunny weather
Maize,Kolar,Kolar Market,2331.55,2025-10-01,2438,kg,58.7,Heatwave
Maize,Tumkur,Tumkur Mandi,1862.52,2025-09-14,1287,quintal,80.8,Rain expected
Rice,Mysuru,Mysuru Mandi,1359.43,2025-07-24,2300,ton,81.8,Rain expected
Rice,chitradurga,chitradurga market,3069.38,2025-10-06,2039,ton,81.8,Stable
Cotton,Kolar,Kolar Market,2702.09,2025-08-29,2306,kg,58.7,Cold wave
Maize,Kolar,Kolar Market,2977.47,2025-07-20,2716,quintal,58.7,Stable
Maize,davanagere,davanagere market,2147.83,2025-08-16,127,quintal,89.2,Slight showers
Cotton,Kolar,Kolar Market,1739.88,2025-08-27,1658,ton,58.7,Rising prices
Cotton,Kolar,Kolar Market,2131.99,2025-07-10,471,quintal,58.7,Rising prices
Tomato,Tumkur,Tumkur Mandi,2399.04,2025-09-08,793,kg,80.8,Stable
Maize,davanagere,davanagere market,2052.62,2025-09-01,2471,ton,89.2,Price may drop
Wheat,chitradurga,chitradurga market,1067.68,2025-07-17,96,ton,81.8,Sunny weather
Tomato,davanagere,davanagere market,2639.02,2025-09-24,279,ton,89.2,Heatwave
Tomato,Kolar,Kolar Market,1181.03,2025-09-16,2400,ton,58.7,Rain expected
Tomato,Kolar,Kolar Market,2261.41,2025-10-04,925,ton,58.7,Heatwave
Wheat,chitradurga,chitradurga market,1566.23,2025-08-04,2942,ton,81.8,Heatwave
Wheat,Mysuru,Mysuru Mandi,2295.76,2025-07-21,778,kg,81.8,Slight showers
Wheat,Mysuru,Mysuru Mandi,1207.56,2025-10-18,498,quintal,81.8,Heatwave
Maize,Mysuru,Mysuru Mandi,3194.66,2025-07-09,2975,ton,81.8,Flood risk
Rice,Kolar,Kolar Market,943.35,2025-07-23,933,ton,58.7,Sunny weather
Rice,chitradurga,chitradurga market,1268.48,2025-09-13,1771,ton,81.8,Price may drop
Wheat,Mysuru,Mysuru Mandi,3103.64,2025-10-04,391,ton,81.8,Heatwave
Rice,Kolar,Kolar Market,754.49,2025-10-13,2178,ton,58.7,Rain expected
Rice,Tumkur,Tumkur Mandi,3332.33,2025-07-21,2352,ton,80.8,Sunny weather
Tomato,Tumkur,Tumkur Mandi,3453.6,2025-08-04,2064,quintal,80.8,Rain expected
Maize,chitradurga,chitradurga market,3386.33,2025-07-16,744,kg,81.8,Slight showers
Tomato,Kolar,Kolar Market,932.07,2025-09-23,1773,ton,58.7,Rain expected
Rice,Kolar,Kolar Market,3135.0,2025-09-23,1664,quintal,58.7,Flood risk
Rice,Kolar,Kolar Market,1366.39,2025-08-23,2104,ton,58.7,Cold wave
Wheat,Tumkur,Tumkur Mandi,1000.62,2025-07-13,558,kg,80.8,Rain expected
Tomato,davanagere,davanagere market,2008.9,2025-10-17,1116,quintal,89.2,Stable
Maize,Kolar,Kolar Market,1636.81,2025-08-23,2247,kg,58.7,Rain expected
Wheat,davanagere,davanagere market,2999.37,2025-08-17,2199,ton,89.2,Rain expected
Cotton,Mysuru,Mysuru Mandi,3387.72,2025-10-07,214,quintal,81.8,Flood risk
Wheat,Tumkur,Tumkur Mandi,1749.81,2025-08-14,1952,kg,80.8,Rain expected
Tomato,chitradurga,chitradurga market,1571.03,2025-07-10,2386,kg,81.8,Stable
Wheat,Kolar,Kolar Market,3095.08,2025-09-04,682,quintal,58.7,Drought warning
Wheat,Kolar,Kolar Market,2160.7,2025-07-27,2806,kg,58.7,Slight showers
Tomato,Kolar,Kolar Market,1651.22,2025-10-17,2917,ton,58.7,Sunny weather
Tomato,davanagere,davanagere market,1517.82,2025-07-05,777,kg,89.2,Sunny weather
Rice,davanagere,davanagere market,2662.43,2025-10-12,2768,kg,89.2,Slight showers
Wheat,Kolar,Kolar Market,2303.07,2025-08-02,2765,ton,58.7,Drought warning
Cotton,chitradurga,chitradurga market,3389.92,2025-08-22,32,ton,81.8,Rain expected
Cotton,Tumkur,Tumkur Mandi,2385.38,2025-09-09,434,kg,80.8,Heatwave
Wheat,Kolar,Kolar Market,1187.02,2025-08-10,887,kg,58.7,Slight showers
Wheat,Tumkur,Tumkur Mandi,2332.67,2025-07-03,2156,kg,80.8,Rising prices
Wheat,Kolar,Kolar Market,1703.01,2025-08-07,2827,quintal,58.7,Slight showers
Tomato,chitradurga,chitradurga market,3315.12,2025-07-31,2933,kg,81.8,Drought warning
Tomato,chitradurga,chitradurga market,2736.49,2025-10-24,812,kg,81.8,Cold wave
Wheat,Tumkur,Tumkur Mandi,2514.64,2025-07-02,1862,kg,80.8,Sunny weather
Wheat,Tumkur,Tumkur Mandi,1394.58,2025-07-27,709,kg,80.8,Rising prices
Maize,davanagere,davanagere market,2267.94,2025-10-15,773,quintal,89.2,Rising prices
Rice,chitradurga,chitradurga market,1164.88,2025-07-24,1878,ton,81.8,Sunny weather
Tomato,Mysuru,Mysuru Mandi,3354.12,2025-09-04,1928,ton,81.8,Slight showers
Rice,davanagere,davanagere market,1971.25,2025-08-30,2352,ton,89.2,Stable
Wheat,Tumkur,Tumkur Mandi,932.92,2025-07-22,256,quintal,80.8,Rain expected
Wheat,Mysuru,Mysuru Mandi,1358.25,2025-08-08,815,kg,81.8,Price may drop
Wheat,Tumkur,Tumkur Mandi,3312.12,2025-08-22,841,quintal,80.8,Drought warning
Rice,Kolar,Kolar Market,2419.85,2025-09-27,2152,ton,58.7,Rain expected
Wheat,Tumkur,Tumkur Mandi,773.87,2025-09-12,1682,kg,80.8,Flood risk
Maize,Mysuru,Mysuru Mandi,1501.04,2025-08-23,649,ton,81.8,Slight showers
Maize,Mysuru,Mysuru Mandi,1222.37,2025-07-14,1147,quintal,81.8,Cold wave
Maize,chitradurga,chitradurga market,1964.6,2025-07-24,1867,quintal,81.8,Rain expected
Cotton,davanagere,davanagere market,1097.18,2025-08-30,1497,ton,89.2,Rain expected
Tomato,chitradurga,chitradurga market,2868.98,2025-08-03,2307,ton,81.8,Flood risk
Rice,Mysuru,Mysuru Mandi,2794.96,2025-08-16,2320,kg,81.8,Rising prices
Cotton,Kolar,Kolar Market,849.12,2025-07-08,1312,ton,58.7,Drought warning
Tomato,Mysuru,Mysuru Mandi,2874.83,2025-09-05,556,ton,81.8,Price may drop
Maize,davanagere,davanagere market,2871.61,2025-07-10,787,quintal,89.2,Sunny weather
Rice,davanagere,davanagere market,1382.36,2025-08-18,1448,quintal,89.2,Sunny weather
Wheat,Kolar,Kolar Market,1481.32,2025-08-08,2036,kg,58.7,Drought warning
Rice,davanagere,davanagere market,911.79,2025-10-07,453,quintal,89.2,Flood risk
Cotton,chitradurga,chitradurga market,1925.98,2025-08-11,1010,kg,81.8,Slight showers
Wheat,Kolar,Kolar Market,3225.75,2025-08-26,2734,quintal,58.7,Rain expected
Rice,Mysuru,Mysuru Mandi,3013.17,2025-07-03,987,kg,81.8,Slight showers
Maize,Kolar,Kolar Market,2428.96,2025-09-08,2257,kg,58.7,Price may drop
Cotton,Tumkur,Tumkur Mandi,726.55,2025-07-21,1370,ton,80.8,Flood risk
Tomato,Kolar,Kolar Market,2419.51,2025-08-02,129,kg,58.7,Rising prices
Cotton,Tumkur,Tumkur Mandi,2137.78,2025-08-05,841,ton,80.8,Rising prices
Rice,davanagere,davanagere market,1544.62,2025-08-04,2978,ton,89.2,Price may drop
Wheat,davanagere,davanagere market,2681.21,2025-10-16,234,ton,89.2,Rain expected
Rice,Tumkur,Tumkur Mandi,2170.85,2025-10-01,497,ton,80.8,Drought warning
Rice,Kolar,Kolar Market,2407.23,2025-08-20,1471,ton,58.7,Cold wave
Tomato,Mysuru,Mysuru Mandi,2235.49,2025-10-20,2366,ton,81.8,Drought warning
Cotton,Tumkur,Tumkur Mandi,2968.23,2025-10-19,1918,quintal,80.8,Sunny weather
Tomato,Tumkur,Tumkur Mandi,2918.77,2025-09-18,1424,kg,80.8,Price may drop
Wheat,davanagere,davanagere market,2022.27,2025-10-13,654,ton,89.2,Heatwave
Cotton,chitradurga,chitradurga market,1779.82,2025-08-12,2712,quintal,81.8,Rain expected
Tomato,davanagere,davanagere market,877.23,2025-09-26,1054,ton,89.2,Sunny weather
Cotton,Mysuru,Mysuru Mandi,2115.44,2025-10-06,539,quintal,81.8,Rising prices
Wheat,davanagere,davanagere market,2674.25,2025-09-22,1649,ton,89.2,Flood risk
Tomato,chitradurga,chitradurga market,1752.53,2025-07-26,1223,kg,81.8,Slight showers
Rice,davanagere,davanagere market,954.13,2025-07-19,1217,kg,89.2,Sunny weather
Wheat,davanagere,davanagere market,2193.41,2025-07-28,2910,quintal,89.2,Sunny weather
Tomato,chitradurga,chitradurga market,3006.76,2025-09-23,1038,kg,81.8,Sunny weather
Wheat,chitradurga,chitradurga market,1954.44,2025-08-31,608,quintal,81.8,Cold wave
Rice,davanagere,davanagere market,1575.2,2025-09-21,2681,ton,89.2,Stable
Wheat,davanagere,davanagere market,2865.14,2025-08-29,888,ton,89.2,Flood risk
Cotton,chitradurga,chitradurga market,2422.81,2025-09-30,1257,kg,81.8,Rising prices
Rice,Kolar,Kolar Market,2683.49,2025-10-02,1903,kg,58.7,Flood risk
Cotton,davanagere,davanagere market,1966.26,2025-10-04,856,ton,89.2,Flood risk
Wheat,Kolar,Kolar Market,1335.14,2025-09-08,2417,kg,58.7,Sunny weather
Tomato,davanagere,davanagere market,876.66,2025-09-12,1329,quintal,89.2,Drought warning
Rice,Tumkur,Tumkur Mandi,3399.95,2025-10-13,2126,ton,80.8,Rain expected
Maize,Mysuru,Mysuru Mandi,1391.41,2025-07-07,1881,kg,81.8,Drought warning
Tomato,Kolar,Kolar Market,2824.7,2025-07-19,2737,kg,58.7,Sunny weather
Cotton,davanagere,davanagere market,738.05,2025-07-08,2534,ton,89.2,Sunny weather
Rice,davanagere,davanagere market,1137.02,2025-10-16,1608,quintal,89.2,Cold wave
Rice,Mysuru,Mysuru Mandi,2148.29,2025-10-20,2552,kg,81.8,Rain expected
Tomato,davanagere,davanagere market,1199.72,2025-08-18,1397,kg,89.2,Heatwave
Maize,davanagere,davanagere market,756.64,2025-07-09,801,ton,89.2,Stable
Maize,chitradurga,chitradurga market,746.06,2025-08-02,1566,kg,81.8,Rising prices
Maize,Kolar,Kolar Market,2944.04,2025-10-12,1584,quintal,58.7,Rain expected
Cotton,Tumkur,Tumkur Mandi,2965.65,2025-07-25,1416,quintal,80.8,Slight showers
Rice,Mysuru,Mysuru Mandi,2459.9,2025-07-12,1452,ton,81.8,Flood risk
Wheat,chitradurga,chitradurga market,2494.65,2025-09-09,2476,kg,81.8,Sunny weather
Rice,Kolar,Kolar Market,2364.71,2025-09-13,897,kg,58.7,Rising prices
Maize,Tumkur,Tumkur Mandi,2346.25,2025-09-07,526,ton,80.8,Heatwave
Maize,Tumkur,Tumkur Mandi,3422.53,2025-07-01,1591,ton,80.8,Drought warning
Maize,davanagere,davanagere market,1056.09,2025-08-28,69,quintal,89.2,Flood risk
Wheat,Tumkur,Tumkur Mandi,1186.59,2025-09-30,123,quintal,80.8,Rain expected
Cotton,Kolar,Kolar Market,1703.18,2025-10-01,441,quintal,58.7,Flood risk
Tomato,chitradurga,chitradurga market,2867.45,2025-08-29,2152,kg,81.8,Rising prices
Wheat,Mysuru,Mysuru Mandi,1421.14,2025-07-02,1085,ton,81.8,Flood risk
Tomato,davanagere,davanagere market,1661.11,2025-08-12,200,quintal,89.2,Cold wave
Cotton,Mysuru,Mysuru Mandi,3191.81,2025-09-23,656,quintal,81.8,Slight showers
Wheat,Tumkur,Tumkur Mandi,1024.15,2025-09-05,1866,quintal,80.8,Cold wave
Wheat,chitradurga,chitradurga market,2347.5,2025-09-25,2252,kg,81.8,Rising prices
Rice,davanagere,davanagere market,2830.48,2025-09-14,211,kg,89.2,Flood risk
Wheat,Kolar,Kolar Market,2255.96,2025-10-09,1357,ton,58.7,Sunny weather
Rice,chitradurga,chitradurga market,980.84,2025-07-05,1039,quintal,81.8,Price may drop
Tomato,chitradurga,chitradurga market,2682.17,2025-08-03,2998,quintal,81.8,Cold wave
Wheat,Kolar,Kolar Market,3408.89,2025-08-07,2799,quintal,58.7,Stable
Wheat,chitradurga,chitradurga market,1737.98,2025-10-14,440,kg,81.8,Price may drop
Rice,chitradurga,chitradurga market,1999.62,2025-07-06,24,kg,81.8,Rain expected
Cotton,Tumkur,Tumkur Mandi,3271.93,2025-08-19,267,kg,80.8,Rain expected
Tomato,Tumkur,Tumkur Mandi,3067.91,2025-07-23,1690,ton,80.8,Flood risk
Cotton,chitradurga,chitradurga market,3397.77,2025-07-24,2596,ton,81.8,Cold wave
Rice,davanagere,davanagere market,3330.83,2025-08-12,1762,ton,89.2,Heatwave
Tomato,davanagere,davanagere market,2599.31,2025-07-05,1583,ton,89.2,Rain expected
Maize,Kolar,Kolar Market,1584.57,2025-09-11,2463,ton,58.7,Stable
Wheat,chitradurga,chitradurga market,1056.81,2025-09-20,2682,quintal,81.8,Flood risk
Wheat,Tumkur,Tumkur Mandi,776.41,2025-10-11,444,kg,80.8,Sunny weather
Cotton,Kolar,Kolar Market,2563.61,2025-08-18,1920,kg,58.7,Slight showers
Maize,davanagere,davanagere market,1679.49,2025-07-18,1068,ton,89.2,Rain expected
Maize,Tumkur,Tumkur Mandi,1341.62,2025-07-04,1653,quintal,80.8,Slight showers
Cotton,Mysuru,Mysuru Mandi,3436.96,2025-10-14,2770,kg,81.8,Price may drop
Tomato,Tumkur,Tumkur Mandi,2441.02,2025-09-03,1170,kg,80.8,Flood risk
Rice,chitradurga,chitradurga market,1352.02,2025-07-02,2530,ton,81.8,Stable
Tomato,Kolar,Kolar Market,1107.69,2025-07-09,2565,quintal,58.7,Flood risk
Maize,Mysuru,Mysuru Mandi,1004.6,2025-10-23,1036,quintal,81.8,Flood risk
Rice,Mysuru,Mysuru Mandi,1623.87,2025-08-16,1828,ton,81.8,Cold wave
Cotton,davanagere,davanagere market,2536.6,2025-08-28,602,ton,89.2,Sunny weather
Rice,Kolar,Kolar Market,882.53,2025-10-09,1953,ton,58.7,Sunny weather
Cotton,Mysuru,Mysuru Mandi,1115.8,2025-07-11,1495,ton,81.8,Sunny weather
Maize,chitradurga,chitradurga market,3017.68,2025-07-05,1726,ton,81.8,Flood risk
Wheat,davanagere,davanagere market,1982.44,2025-07-22,2046,kg,89.2,Stable
Cotton,davanagere,davanagere market,1156.95,2025-08-22,2105,ton,89.2,Stable
Cotton,Kolar,Kolar Market,1754.03,2025-10-20,1740,kg,58.7,Sunny weather
Rice,Tumkur,Tumkur Mandi,933.29,2025-08-13,1927,quintal,80.8,Rain expected
Cotton,Tumkur,Tumkur Mandi,2898.58,2025-07-31,1497,quintal,80.8,Rising prices
Tomato,Mysuru,Mysuru Mandi,1620.05,2025-10-15,710,ton,81.8,Flood risk
Maize,Mysuru,Mysuru Mandi,2670.73,2025-10-07,2543,ton,81.8,Rain expected
Wheat,Tumkur,Tumkur Mandi,3285.31,2025-07-19,633,ton,80.8,Stable
Tomato,davanagere,davanagere market,837.23,2025-08-07,2974,quintal,89.2,Flood risk
Tomato,Tumkur,Tumkur Mandi,1572.69,2025-09-06,119,kg,80.8,Rising prices
Wheat,Kolar,Kolar Market,1933.22,2025-07-13,1092,ton,58.7,Cold wave
Tomato,davanagere,davanagere market,2276.04,2025-07-01,2373,kg,89.2,Rain expected
Maize,chitradurga,chitradurga market,1668.81,2025-09-21,321,ton,81.8,Cold wave
Tomato,Kolar,Kolar Market,3090.24,2025-09-11,2459,quintal,58.7,Heatwave
Maize,Tumkur,Tumkur Mandi,1660.86,2025-10-02,397,quintal,80.8,Rising prices
Wheat,Mysuru,Mysuru Mandi,2239.62,2025-08-25,1169,kg,81.8,Slight showers
Tomato,chitradurga,chitradurga market,1965.98,2025-07-24,1812,ton,81.8,Flood risk
Tomato,Kolar,Kolar Market,2817.03,2025-10-06,240,kg,58.7,Rain expected
Tomato,Kolar,Kolar Market,1777.02,2025-07-18,2279,quintal,58.7,Rising prices
Rice,Tumkur,Tumkur Mandi,3339.37,2025-08-17,158,ton,80.8,Flood risk
Tomato,chitradurga,chitradurga market,990.08,2025-07-07,2331,quintal,81.8,Drought warning
Maize,Mysuru,Mysuru Mandi,1949.86,2025-09-16,561,kg,81.8,Cold wave
Tomato,Mysuru,Mysuru Mandi,839.02,2025-08-12,2810,kg,81.8,Price may drop
Rice,Kolar,Kolar Market,3080.31,2025-07-27,474,kg,58.7,Stable
Maize,davanagere,davanagere market,1081.19,2025-10-15,2131,ton,89.2,Slight showers
Tomato,chitradurga,chitradurga market,1845.04,2025-09-03,39,quintal,81.8,Price may drop
Cotton,Tumkur,Tumkur Mandi,1402.81,2025-10-23,395,quintal,80.8,Stable
Maize,Kolar,Kolar Market,2274.47,2025-09-27,322,ton,58.7,Stable
Tomato,davanagere,davanagere market,2393.65,2025-10-12,1828,quintal,89.2,Rising prices
Wheat,Tumkur,Tumkur Mandi,1704.79,2025-07-04,239,kg,80.8,Price may drop
Maize,chitradurga,chitradurga market,2450.05,2025-07-08,1441,ton,81.8,Stable
Rice,Kolar,Kolar Market,2356.0,2025-09-11,2642,ton,58.7,Heatwave
Tomato,Kolar,Kolar Market,2227.78,2025-10-20,1484,kg,58.7,Drought warning
Rice,Tumkur,Tumkur Mandi,2559.15,2025-08-05,951,ton,80.8,Cold wave
Rice,Mysuru,Mysuru Mandi,1236.07,2025-08-24,1982,kg,81.8,Rain expected
Rice,Tumkur,Tumkur Mandi,2210.34,2025-09-07,1194,ton,80.8,Rising prices
Rice,Tumkur,Tumkur Mandi,1500.99,2025-08-30,1635,ton,80.8,Rising prices
Rice,Tumkur,Tumkur Mandi,2157.74,2025-09-17,455,quintal,80.8,Flood risk
Cotton,chitradurga,chitradurga market,1624.64,2025-07-20,899,kg,81.8,Rising prices
Cotton,chitradurga,chitradurga market,2785.9,2025-07-18,1200,kg,81.8,Sunny weather
Wheat,davanagere,davanagere market,2111.03,2025-08-30,255,ton,89.2,Flood risk
Cotton,chitradurga,chitradurga market,1403.66,2025-08-08,481,quintal,81.8,Heatwave
Maize,Mysuru,Mysuru Mandi,1327.46,2025-08-12,2208,ton,81.8,Price may drop
Cotton,Mysuru,Mysuru Mandi,1392.1,2025-08-16,1331,ton,81.8,Flood risk
Maize,Kolar,Kolar Market,1379.81,2025-10-26,2241,ton,58.7,Sunny weather
Maize,chitradurga,chitradurga market,3288.51,2025-07-03,2820,quintal,81.8,Heatwave
Maize,Kolar,Kolar Market,1399.76,2025-09-15,712,kg,58.7,Cold wave
Tomato,Tumkur,Tumkur Mandi,2459.02,2025-07-09,2782,ton,80.8,Rain expected
Rice,Tumkur,Tumkur Mandi,1699.57,2025-09-07,1739,kg,80.8,Slight showers
Cotton,Tumkur,Tumkur Mandi,1039.13,2025-10-25,1961,kg,80.8,Slight showers
Maize,chitradurga,chitradurga market,1275.02,2025-07-03,68,ton,81.8,Rain expected
Wheat,Kolar,Kolar Market,1473.36,2025-10-10,176,quintal,58.7,Heatwave
Tomato,Kolar,Kolar Market,3334.92,2025-07-18,815,kg,58.7,Price may drop
Maize,Tumkur,Tumkur Mandi,1496.12,2025-07-11,2433,kg,80.8,Sunny weather
Rice,Mysuru,Mysuru Mandi,1737.89,2025-10-25,2092,ton,81.8,Drought warning
Cotton,Kolar,Kolar Market,1723.95,2025-10-01,2326,ton,58.7,Slight showers
Cotton,Kolar,Kolar Market,1857.49,2025-07-17,692,ton,58.7,Slight showers
Tomato,davanagere,davanagere market,3119.1,2025-07-30,1131,ton,89.2,Slight showers
Tomato,chitradurga,chitradurga market,1360.64,2025-08-22,1676,ton,81.8,Price may drop
Tomato,chitradurga,chitradurga market,3008.32,2025-10-26,2253,quintal,81.8,Price may drop
Cotton,chitradurga,chitradurga market,2996.56,2025-09-07,395,ton,81.8,Heatwave
Wheat,Tumkur,Tumkur Mandi,2371.7,2025-07-20,550,kg,80.8,Rising prices
Cotton,Kolar,Kolar Market,1506.86,2025-09-29,2452,kg,58.7,Heatwave
Maize,davanagere,davanagere market,1827.33,2025-10-24,960,quintal,89.2,Rising prices
Maize,chitradurga,chitradurga market,1766.27,2025-09-06,966,ton,81.8,Flood risk
Tomato,Tumkur,Tumkur Mandi,1151.94,2025-09-01,1535,kg,80.8,Drought warning
Cotton,Mysuru,Mysuru Mandi,1031.38,2025-07-25,1963,kg,81.8,Stable
Cotton,davanagere,davanagere market,1171.35,2025-07-04,437,quintal,89.2,Drought warning
Cotton,Kolar,Kolar Market,1004.53,2025-07-25,1474,kg,58.7,Sunny weather
Cotton,Mysuru,Mysuru Mandi,2930.95,2025-08-25,2152,quintal,81.8,Stable
Wheat,Tumkur,Tumkur Mandi,1463.52,2025-07-24,874,kg,80.8,Drought warning
Rice,Tumkur,Tumkur Mandi,3280.15,2025-08-09,2490,quintal,80.8,Cold wave
Cotton,davanagere,davanagere market,3330.79,2025-09-08,1300,quintal,89.2,Drought warning
Cotton,Tumkur,Tumkur Mandi,1629.47,2025-08-15,1511,kg,80.8,Stable
Wheat,chitradurga,chitradurga market,1873.1,2025-08-13,2266,quintal,81.8,Rain expected
Tomato,davanagere,davanagere market,3356.9,2025-08-06,1503,quintal,89.2,Drought warning
Cotton,Mysuru,Mysuru Mandi,2815.84,2025-09-09,819,kg,81.8,Rising prices
Wheat,Tumkur,Tumkur Mandi,1845.42,2025-07-02,1242,quintal,80.8,Flood risk
Wheat,chitradurga,chitradurga market,3029.43,2025-08-21,523,kg,81.8,Drought warning
Tomato,Mysuru,Mysuru Mandi,833.51,2025-10-05,850,quintal,81.8,Slight showers
Maize,chitradurga,chitradurga market,1805.94,2025-08-06,659,quintal,81.8,Cold wave
Wheat,davanagere,davanagere market,1267.78,2025-09-20,2426,kg,89.2,Stable
Cotton,davanagere,davanagere market,2126.66,2025-07-28,1060,kg,89.2,Drought warning
Tomato,davanagere,davanagere market,1343.78,2025-07-06,1762,ton,89.2,Flood risk
Maize,Tumkur,Tumkur Mandi,2450.51,2025-07-03,2588,kg,80.8,Price may drop
Rice,chitradurga,chitradurga market,1110.18,2025-10-02,781,ton,81.8,Price may drop
Cotton,chitradurga,chitradurga market,2412.28,2025-07-13,576,quintal,81.8,Flood risk
Cotton,Mysuru,Mysuru Mandi,1533.77,2025-07-28,1695,quintal,81.8,Rising prices
Tomato,chitradurga,chitradurga market,1956.79,2025-09-18,700,ton,81.8,Heatwave
Cotton,Kolar,Kolar Market,1066.13,2025-07-05,2129,kg,58.7,Flood risk
Maize,Tumkur,Tumkur Mandi,2851.68,2025-07-22,2476,ton,80.8,Sunny weather
Maize,Kolar,Kolar Market,3160.77,2025-09-29,921,quintal,58.7,Flood risk
Maize,Mysuru,Mysuru Mandi,1365.4,2025-09-18,1453,kg,81.8,Rain expected
Tomato,Tumkur,Tumkur Mandi,2536.91,2025-07-10,643,ton,80.8,Sunny weather
Tomato,chitradurga,chitradurga market,1173.57,2025-09-08,858,quintal,81.8,Sunny weather
Cotton,chitradurga,chitradurga market,2264.61,2025-10-12,1198,kg,81.8,Heatwave
Tomato,Kolar,Kolar Market,2850.97,2025-08-11,2840,kg,58.7,Stable
Tomato,Kolar,Kolar Market,879.24,2025-09-07,1980,quintal,58.7,Sunny weather
Rice,Kolar,Kolar Market,830.11,2025-10-27,2901,ton,58.7,Heatwave
Tomato,Tumkur,Tumkur Mandi,1197.04,2025-08-10,1465,ton,80.8,Stable
Rice,Kolar,Kolar Market,3399.72,2025-08-04,312,kg,58.7,Rising prices
Tomato,Mysuru,Mysuru Mandi,2156.47,2025-07-29,2515,ton,81.8,Price may drop
Wheat,Tumkur,Tumkur Mandi,1439.68,2025-07-03,1260,ton,80.8,Sunny weather
Maize,Tumkur,Tumkur Mandi,2699.2,2025-09-06,1075,kg,80.8,Cold wave
Maize,chitradurga,chitradurga market,3142.91,2025-10-21,1738,kg,81.8,Flood risk
Tomato,Mysuru,Mysuru Mandi,1451.95,2025-09-05,381,ton,81.8,Sunny weather
Cotton,Kolar,Kolar Market,2605.85,2025-09-24,2635,quintal,58.7,Price may drop
Tomato,Tumkur,Tumkur Mandi,2187.83,2025-08-13,1654,kg,80.8,Heatwave
Tomato,chitradurga,chitradurga market,3247.93,2025-08-07,1557,kg,81.8,Cold wave
Wheat,Kolar,Kolar Market,2434.95,2025-08-26,2277,ton,58.7,Price may drop
Cotton,Tumkur,Tumkur Mandi,1901.76,2025-09-17,2669,ton,80.8,Sunny weather
Tomato,davanagere,davanagere market,2515.14,2025-09-19,1012,kg,89.2,Drought warning
Maize,chitradurga,chitradurga market,2161.13,2025-08-17,2924,ton,81.8,Flood risk
Tomato,chitradurga,chitradurga market,2818.38,2025-08-26,2687,kg,81.8,Price may drop
Tomato,chitradurga,chitradurga market,2222.83,2025-07-07,2284,quintal,81.8,Slight showers
Wheat,Mysuru,Mysuru Mandi,2759.58,2025-10-12,2944,kg,81.8,Sunny weather
Maize,Tumkur,Tumkur Mandi,2141.71,2025-09-30,1804,kg,80.8,Heatwave
Rice,Tumkur,Tumkur Mandi,934.23,2025-09-04,2395,quintal,80.8,Sunny weather
Rice,davanagere,davanagere market,2643.46,2025-07-15,112,quintal,89.2,Stable
Rice,Tumkur,Tumkur Mandi,1176.62,2025-09-26,565,kg,80.8,Slight showers
Maize,Tumkur,Tumkur Mandi,2834.25,2025-10-27,971,quintal,80.8,Stable
Maize,chitradurga,chitradurga market,3315.19,2025-07-06,2047,kg,81.8,Drought warning
Rice,chitradurga,chitradurga market,2241.14,2025-07-03,1709,quintal,81.8,Stable
Cotton,Tumkur,Tumkur Mandi,3277.53,2025-09-27,148,ton,80.8,Rain expected
Maize,Tumkur,Tumkur Mandi,3320.69,2025-09-27,1416,ton,80.8,Flood risk
Wheat,Kolar,Kolar Market,2957.67,2025-10-27,2984,quintal,58.7,Price may drop
Wheat,Mysuru,Mysuru Mandi,1549.86,2025-07-24,83,quintal,81.8,Sunny weather
Cotton,Tumkur,Tumkur Mandi,769.86,2025-09-14,2740,kg,80.8,Cold wave
Tomato,Mysuru,Mysuru Mandi,1329.88,2025-10-26,592,kg,81.8,Flood risk
Tomato,Tumkur,Tumkur Mandi,1946.83,2025-07-14,922,kg,80.8,Flood risk
Tomato,Kolar,Kolar Market,2298.38,2025-10-20,2507,kg,58.7,Rising prices
Wheat,Kolar,Kolar Market,1699.99,2025-07-12,2404,kg,58.7,Drought warning
Tomato,davanagere,davanagere market,2620.46,2025-09-18,2533,ton,89.2,Heatwave
Maize,chitradurga,chitradurga market,2800.34,2025-10-17,2426,kg,81.8,Heatwave
Tomato,Kolar,Kolar Market,2904.69,2025-08-16,564,quintal,58.7,Rain expected
Rice,Kolar,Kolar Market,2579.34,2025-10-18,2441,ton,58.7,Sunny weather
Wheat,Mysuru,Mysuru Mandi,1193.32,2025-07-01,797,ton,81.8,Stable
Maize,Kolar,Kolar Market,3398.13,2025-09-01,1719,ton,58.7,Flood risk
Tomato,Tumkur,Tumkur Mandi,3121.69,2025-08-26,2366,kg,80.8,Heatwave
Rice,Kolar,Kolar Market,3078.25,2025-07-04,2611,kg,58.7,Cold wave
Wheat,chitradurga,chitradurga market,3200.23,2025-08-04,1293,ton,81.8,Flood risk
Tomato,Mysuru,Mysuru Mandi,1292.55,2025-07-23,606,ton,81.8,Drought warning
